model,seed,curve_index,strategy_raw,strategy,epochs_ran,requested_epochs,stopped_early,final_train_loss,final_val_loss,best_val_loss,n_train_points,n_val_points
PatchTST,42,17,FTL,1. FTL,10,,,0.0032262295222056266,0.010848004221916199,0.005247875247150659,10,10
PatchTST,42,18,FTL,1. FTL,10,,,0.004735906273984731,0.012376489043235779,0.011645108386874199,10,10
PatchTST,42,19,FTL,1. FTL,10,,,0.06367543485106492,0.04154793694615364,0.04062381092458964,10,10
PatchTST,42,20,FTL,1. FTL,10,,,0.0069378475497437735,0.012886588792166403,0.012210801844635317,10,10
PatchTST,42,21,FTL,1. FTL,10,,,0.017777513944844243,0.035598838925361635,0.030346675515174865,10,10
PatchTST,42,22,FTL,1. FTL,10,,,0.016191710801265104,0.03657671317458153,0.034148758202791216,10,10
PatchTST,42,23,FTL,1. FTL,10,,,0.004824928989820687,0.01017256548628211,0.01017256548628211,10,10
PatchTST,42,24,FTL,1. FTL,10,,,0.010703938604309791,0.056737131774425506,0.048612645715475085,10,10
PatchTST,42,25,FTL,1. FTL,10,,,0.0037394461993678274,0.006140258833765983,0.005253582336008549,10,10
PatchTST,42,26,FTL,1. FTL,10,,,0.006362639054615646,0.02269373267889023,0.006255862545222044,10,10
PatchTST,42,27,FTL,1. FTL,10,,,0.047342475594543826,1.9926142281293868,1.6946832018718123,10,10
PatchTST,42,28,FTL,1. FTL,10,,,0.01046391298267536,0.025089597702026366,0.020141389667987824,10,10
PatchTST,42,29,FTL,1. FTL,10,,,0.006863582043890869,0.010728825461119413,0.009742603562772274,10,10
PatchTST,42,30,FTL,1. FTL,10,,,0.017393786540926312,0.40414843380451204,0.25883669048547747,10,10
PatchTST,42,31,FTL,1. FTL,10,,,0.011307352659769537,0.019513905085623263,0.013415005896240473,10,10
PatchTST,42,32,FTL,1. FTL,10,,,0.030696458233707157,0.34847346536815166,0.09994793206453323,10,10
PatchTST,42,33,FTL,1. FTL,10,,,0.008819213363116835,0.009901709233721098,0.009901709233721098,10,10
PatchTST,42,34,FTL,1. FTL,10,,,0.027932710675547923,0.1452471148967743,0.11538362860679627,10,10
PatchTST,42,35,FTL,1. FTL,10,,,0.002021197190660943,0.004962232187390328,0.004756806939840316,10,10
PatchTST,42,36,FTL,1. FTL,10,,,0.06820414643381346,0.04068642884492874,0.029234570413827897,10,10
PatchTST,42,37,FTL,1. FTL,10,,,0.001443509501468158,0.003341726139187813,0.0030237522162497046,10,10
PatchTST,42,38,FTL,1. FTL,10,,,0.019081375533891564,0.10005406320095062,0.08095021873712539,10,10
PatchTST,42,39,FTL,1. FTL,10,,,0.0031446832982093844,0.0028614439629018307,0.0028614439629018307,10,10
PatchTST,42,40,FTL,1. FTL,10,,,0.0014490694825032393,0.0034889496302091946,0.001987425665501305,10,10
PatchTST,42,41,FTL,1. FTL,10,,,0.016934684997671826,0.17161192268133163,0.11163128778338433,10,10
PatchTST,42,42,FTL,1. FTL,10,,,0.0011772453067829334,0.002017436365056182,0.001885108622191574,10,10
PatchTST,42,43,FTL,1. FTL,10,,,0.08349771588677313,0.050554190650582316,0.042017823234200474,10,10
PatchTST,42,44,FTL,1. FTL,10,,,0.010235583722631782,0.010315845757722854,0.009647376164793968,10,10
PatchTST,42,45,FTL,1. FTL,10,,,0.04141010430850957,0.009806538987904788,0.005903042485006154,10,10
PatchTST,42,46,FTL,1. FTL,10,,,0.006573964639751084,0.007928582280874253,0.006243042089045048,10,10
PatchTST,42,47,FTL,1. FTL,10,,,0.004430305061301564,0.009975064937025309,0.009975064937025309,10,10
PatchTST,42,48,FTL,1. FTL,10,,,0.026602006600639685,0.0741771113872528,0.04783329486846924,10,10
PatchTST,42,49,FTL,1. FTL,10,,,0.0031000199149738804,0.002763052210211754,0.002763052210211754,10,10
PatchTST,42,50,FTL,1. FTL,10,,,0.021259439124809047,0.08865433722734452,0.08031880766153336,10,10
PatchTST,42,51,FTL,1. FTL,10,,,0.017934046009287923,0.03009600728750229,0.030025185942649843,10,10
PatchTST,42,52,FTL,1. FTL,10,,,0.011005346635533219,0.05566648483276367,0.03995444297790527,10,10
PatchTST,42,53,FTL,1. FTL,10,,,0.06663016604920874,0.02863498866558075,0.02863498866558075,10,10
PatchTST,42,54,FTL,1. FTL,10,,,0.06263231001870055,0.0063362031057477,0.0063362031057477,10,10
PatchTST,42,55,FTL,1. FTL,10,,,0.044548586911968585,0.15795225616544484,0.08714863670058548,10,10
PatchTST,42,56,FTL,1. FTL,10,,,0.05161183332484266,0.012061446718871594,0.009327361732721329,10,10
PatchTST,42,57,FTL,1. FTL,10,,,0.014201039736106143,0.049876752197742465,0.038422759398818014,10,10
PatchTST,42,58,FTL,1. FTL,10,,,0.009550156651019322,0.01996724545955658,0.017467430979013442,10,10
PatchTST,42,59,FTL,1. FTL,10,,,0.04375391221683483,0.013416309207677841,0.005600896468386054,10,10
PatchTST,42,60,FTL,1. FTL,10,,,0.002820788408493305,0.008924085274338722,0.006312521025538444,10,10
